bucket,tv_symbol,signal_week,entry_date,entry,stop,risk_pct,ext_vs_sma,exit_date,exit_px,pct_move,R,mfe_pct,mae_pct,reason,split
WORST_BY_PCT,NSE:MANPASAND,2017-12-22,2017-12-26,438.24,347.55,20.69,10.31,2018-06-04,206.17,-52.96,-2.56,13.39,-56.36,stop,pre2019_untrusted
WORST_BY_PCT,NSE:JPASSOCIAT,2018-03-16,2018-03-19,20.95,13.95,33.41,6.45,2018-08-13,13.05,-37.71,-1.13,3.82,-41.29,stop,pre2019_untrusted
WORST_BY_PCT,NSE:DHFL,2018-04-20,2018-04-23,587.0,542.1,7.65,8.32,2018-09-24,385.6,-34.31,-4.49,17.8,-53.19,stop,pre2019_untrusted
WORST_BY_PCT,NSE:TARIL,2025-03-21,2025-03-27,480.8,373.84,22.25,14.86,2025-11-17,330.55,-31.25,-1.4,23.49,-41.31,stop,holdout
WORST_BY_PCT,NSE:KAYNES,2025-08-01,2025-08-04,6375.0,5405.0,15.22,13.37,2025-12-08,4409.5,-30.83,-2.03,20.86,-41.18,stop,holdout
WORST_BY_PCT,NSE:RELCAPITAL,2021-03-12,2021-03-15,13.8,10.5,23.91,40.15,2021-04-19,9.7,-29.71,-1.24,0.0,-31.16,stop,train
WORST_BY_PCT,NSE:KIOCL,2018-04-06,2018-04-09,283.57,202.55,28.57,23.09,2018-06-04,201.49,-28.95,-1.01,5.31,-34.35,stop,pre2019_untrusted
WORST_BY_PCT,NSE:ZFCVINDIA,2024-05-31,2024-06-04,2891.1,2211.14,23.52,14.87,2024-12-02,2077.87,-28.13,-1.2,3.28,-29.74,stop,holdout
WORST_BY_PCT,NSE:OBEROIRLTY,2019-08-30,2019-09-03,555.31,439.98,20.77,13.0,2020-03-23,399.9,-27.99,-1.35,2.83,-36.2,stop,train
WORST_BY_PCT,NSE:DEN,2018-02-09,2018-02-12,112.75,85.35,24.3,20.25,2018-07-02,81.2,-27.98,-1.15,6.3,-35.7,stop,pre2019_untrusted
WORST_BY_PCT,NSE:UJJIVAN,2019-11-29,2019-12-02,345.0,300.55,12.88,12.59,2020-03-16,252.0,-26.96,-2.09,20.45,-38.45,stop,train
WORST_BY_PCT,NSE:KNRCON,2024-06-07,2024-06-10,377.84,282.43,25.25,40.1,2024-10-28,277.94,-26.44,-1.05,9.72,-27.5,stop,holdout
WORST_BY_PCT,NSE:TATAELXSI,2022-05-13,2022-05-16,7559.58,6108.44,19.2,25.88,2022-12-26,5574.47,-26.26,-1.37,35.86,-27.91,stop,train
WORST_BY_PCT,NSE:JSL,2020-02-07,2020-02-10,41.5,37.27,10.19,17.14,2020-03-16,30.73,-25.95,-2.55,2.6,-36.03,stop,train
WORST_BY_PCT,NSE:ITDC,2020-01-17,2020-01-20,313.38,279.43,10.83,18.35,2020-03-02,234.58,-25.15,-2.32,8.79,-30.49,stop,train
WORST_BY_PCT,NSE:HFCL,2018-02-09,2018-02-12,30.6,22.94,25.03,38.59,2018-09-17,22.94,-25.03,-1.0,13.17,-30.97,stop,pre2019_untrusted
WORST_BY_PCT,NSE:IBREALEST,2018-02-09,2018-02-15,231.0,180.15,22.01,11.52,2018-06-11,174.05,-24.65,-1.12,1.47,-31.43,stop,pre2019_untrusted
WORST_BY_PCT,NSE:RCF,2024-11-29,2024-12-02,175.55,153.28,12.69,5.7,2025-02-17,132.57,-24.48,-1.93,5.82,-27.61,stop,holdout
WORST_BY_PCT,NSE:JAICORPLTD,2018-03-16,2018-03-19,137.22,114.46,16.59,17.55,2018-10-01,104.35,-23.95,-1.44,17.77,-36.9,stop,pre2019_untrusted
WORST_BY_PCT,NSE:FACT,2025-01-17,2025-01-20,959.52,862.46,10.12,9.15,2025-02-17,729.71,-23.95,-2.37,3.55,-25.31,stop,holdout
