date,equity,cash,n_positions
2026-06-01,1000000.0,1000000.0,0
2026-06-02,1003252.16,133.23,7
2026-06-03,1005584.56,133.23,7
2026-06-04,1006569.26,133.23,7
2026-06-05,989337.04,133.23,7
2026-06-08,950559.38,129622.42,6
2026-06-09,967513.82,338.59,7
2026-06-10,944435.62,338.59,7
2026-06-11,930679.97,16.69,8
2026-06-12,956517.64,16.69,8
2026-06-15,954816.86,16.69,8
2026-06-16,952798.15,103060.95,7
2026-06-17,960359.89,66.82,9
2026-06-18,965279.31,66.82,9
2026-06-19,979267.51,66.82,9
2026-06-22,985505.17,66.82,9
2026-06-23,968768.9,66.82,9
2026-06-24,952252.34,156412.49,8
2026-06-25,937782.66,1017.65,9
2026-06-29,945824.2,167.32,10
2026-06-30,940957.9,167.32,10
